Timestamp,Nuclear,Coal,Co-Gen,IPP-Coal,LNG,IPP-LNG,Oil,Diesel,Hydro,Wind,Solar,Other_Renewable,Storage,Total_Generation,AirTemperature,WindSpeed,SunshineDuration
2025-07-22 23:20:00+08:00,0.0,0.0,1487.4,0.0,0.0,0.0,0.0,0.0,0.0,18.299999999999997,0.0,31.8,0.0,1537.5,,,
2025-07-22 23:30:00+08:00,0.0,0.0,1489.8,0.0,0.0,0.0,0.0,0.0,0.0,20.799999999999997,0.0,32.8,0.0,1543.3999999999999,,,
2025-07-22 23:40:00+08:00,0.0,0.0,1489.2,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,32.8,0.0,1542.9,,,
2025-07-22 23:50:00+08:00,0.0,0.0,1462.4,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,33.6,0.0,1517.1,,,
2025-07-23 00:00:00+08:00,0.0,0.0,1461.5,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,34.6,0.0,1515.8999999999999,,,
2025-07-23 00:10:00+08:00,0.0,0.0,1459.2,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,35.6,15.4,1530.6000000000001,,,
2025-07-23 00:20:00+08:00,0.0,0.0,1344.2,0.0,0.0,0.0,0.0,0.0,0.0,18.099999999999998,0.0,36.0,9.6,1407.8999999999999,,,
2025-07-23 00:30:00+08:00,0.0,0.0,1322.2,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,34.1,16.4,1390.6000000000001,,,
2025-07-23 00:40:00+08:00,0.0,0.0,1284.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,32.7,0.0,1336.3,,,
2025-07-23 00:50:00+08:00,0.0,0.0,1296.7,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,32.3,7.7,1356.9,,,
2025-07-23 01:00:00+08:00,0.0,0.0,1235.4,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,33.3,0.0,1290.3,,,
2025-07-23 01:10:00+08:00,0.0,0.0,1218.7,0.0,0.0,0.0,0.0,0.0,0.0,19.799999999999997,0.0,34.1,0.0,1272.6,,,
2025-07-23 01:20:00+08:00,0.0,0.0,1187.1,0.0,0.0,0.0,0.0,0.0,0.0,21.599999999999998,0.0,34.8,0.0,1243.4999999999998,,,
2025-07-23 01:30:00+08:00,0.0,0.0,1172.1,0.0,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,33.9,0.0,1225.2,,,
2025-07-23 01:40:00+08:00,0.0,0.0,1121.1,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,35.4,0.0,1175.0,,,
2025-07-23 01:50:00+08:00,0.0,0.0,1152.8,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,37.7,0.0,1209.8,,,
2025-07-23 02:00:00+08:00,0.0,0.0,1136.8,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,35.6,0.0,1188.3,,,
2025-07-23 02:10:00+08:00,0.0,0.0,1123.7,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,34.5,0.0,1176.3,,,
2025-07-23 02:20:00+08:00,0.0,0.0,1131.4,0.0,0.0,0.0,0.0,0.0,0.0,14.299999999999999,0.0,33.2,0.0,1178.9,,,
2025-07-23 02:30:00+08:00,0.0,0.0,1204.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,33.2,38.0,1290.0,,,
2025-07-23 02:40:00+08:00,0.0,0.0,1170.4,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,30.4,0.0,1214.3000000000002,,,
2025-07-23 02:50:00+08:00,0.0,0.0,1155.2,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,28.2,4.0,1201.3000000000002,,,
